Tytuł;Autor;Rodzaj;Data powstania;Wymiary;Data zakupu
Zaistnieć;Bochenek Anna;Malarstwo olejne;1995;120x170 cm;25.07.2016
Kompozycja;Borysowski Stanisław;Malarstwo olejne;lata 60te;130x100cm;25.07.2016
Kompozycja abstrakcyjna;Borysowski Stanisław;Malarstwo olejne;nieznane;73x60 cm;25.07.2016
Gwiazdozbiory;Brzuskiewicz Jerzy;mixed media;1991;65x85x5cm;25.07.2016
Pejzaż pionowy;Bulla Ignacy;Malarstwo olejne;1999;150x75 cm;25.07.2016
bez tytułu;Ciecierski Tomasz;Malarstwo olejne;2004;54x66 cm;25.07.2016
Bez tytułu;Ciecierski Tomasz;Malarstwo olejne;1991;28x57x16 cm;25.07.2016
Próba XXIII;Drejas Anna;Malarstwo;2005;110x87cm;25.07.2016
Opór 1;Górska Joanna;Malarstwo akryl;2007;61x90 cm;25.07.2016
Bez tytułu (krzesła);Gunia Marcelina;Malarstwo olej na płótnie 3D;2006;28x38x4cm;25.07.2016
Bez tytułu (okno);Gunia Marcelina;Malarstwo olejne;2006;28x28x4cm;25.07.2016
Wnętrze;Guttfeld Andrzej;Malarstwo olej na płótnie;2002;120x150cm;25.07.2016
Obraz IV;Jackiewicz Władysław;Malarstwo olej na płótnie;1970;150x130cm;25.07.2016
Obraz VI;Jackiewicz Władysław;Malarstwo olej na płótnie;1970;130x170cm;25.07.2016
Portret z...;Klugowski Piotr;Malarstwo olej na płótnie;2004;81x121 cm;25.07.2016
Martwa natura;Korytowski Zenon;Malarstwo olej na płótnie;2005;65x65 cm;25.07.2016
Tor III;Łubowski Andrzej Maciej;Malarstwo olej na płótnie;1978/2005;100x120 cm;25.07.2016
Wykop II;Łubowski Andrzej Maciej;Malarstwo olej na płótnie;1978/2004;89x116 cm;25.07.2016
Nieoczekiwana obecność;Maciejewski Zbysław Marek scenograf, konserwator, malarz,...;Malarstwo olej na płótnie;1983;150x137 cm;25.07.2016
Czerwony mur;Maciejewski Zbysław Marek;Malarstwo olej na płótnie;1990;137x150cm;25.07.2016
Wielkie Diuny;Mierzejewski Jerzy;Malarstwo olej na płótnie;1986;140x210cm;25.07.2016
Jezioro;Mierzejewski Jerzy;Malarstwo olej na płótnie;1992;100x150cm;25.07.2016
Park IV;Maciejewski Zbysław Marek;Malarstwo olej na płótnie;1993;100x140cm;25.07.2016
Gwiazda Dawida;Modzelewski Jarosław;Malarstwo olej na płótnie;1980;120x100cm;25.07.2016
Wędrowiec;Nowacki Andrzej;Malarstwo akryl na płótnie;1971;50x70cm;25.07.2016
Góra poetów;Nowak Paweł;mixed media;2004-2005;200x140cm;25.07.2016
Kompozycja z maskami;Ostrowski Kazimierz;Malarstwo tempera;1967;100x148cm;25.07.2016
Pokój z widokiem na morze;Pankiewicz Ewa;Malarstwo olej na płótnie;1998;107x140cm;25.07.2016
Oglądanie nieba;Pręgowski Filip;Malarstwo olej na płótnie;2006;97x130cm;25.07.2016
Prognoza;Pręgowski Jan;Malarstwo olej na płótnie;2002;130x110cm;25.07.2016
Kod 9;Prokopiuk Andrzej;Instalacja;b.d.;260x50cm;25.07.2016
Papier na drewnie I;Prokopiuk Andrzej;mixed media;1995;94x90cm;25.07.2016
Triduum Piątek;Puciata Jerzy;Malarstwo olej na płótnie;2000;150x150cm;25.07.2016
Zasłona;Simińska Aleksandra;Malarstwo olej na płótnie;2005;130x190cm;25.07.2016
Koniec wakacji;Stec Zbigniew;Malarstwo olej na płotnie;2001;65x65,5cm;25.07.2016
Zwiastowanie;Szary Marek;Malarstwo olej na płótnie;1999;100x135cm;25.07.2016
Bez tytułu;Tarasewicz Leon;Malarstwo akryl na płótnie;2006;260x520cm;25.07.2016
Z cyklu Wesołych Świąt;Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Ania);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Antek);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Asia);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Bogusia);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Bożenka);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Edyta);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Elcia);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Gosia);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Hania);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Hania);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Herman);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Iwo);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Jacek);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Jacuś);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Józek);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Julia);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Justyna);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Kalina);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
Z cyklu Wesołych Świąt (Kenneth);Podlaska Dorota;akryl;2004-2005;25x25cm;25.07.2016
